,AFE,AFW
YR1960,,
YR1961,,
YR1962,,
YR1963,,
YR1964,,
YR1965,,
YR1966,,
YR1967,,
YR1968,,
YR1969,,
YR1970,,
YR1971,,
YR1972,,
YR1973,,
YR1974,,
YR1975,,
YR1976,,
YR1977,,
YR1978,,
YR1979,,
YR1980,,
YR1981,,
YR1982,,
YR1983,,
YR1984,,
YR1985,,
YR1986,,
YR1987,,
YR1988,,
YR1989,,
YR1990,36.2300057282616,22.7769081273257
YR1991,36.0787524728735,22.6587456692513
YR1992,35.9274992174853,22.5405832111769
YR1993,35.7762459620971,22.4224207531025
YR1994,35.624992706709,22.3042582950282
YR1995,35.4737394513208,22.1860958369538
YR1996,35.3224861959326,22.0679333788794
YR1997,35.1712329405445,21.9497709208051
YR1998,35.0199796851563,21.8316084627307
YR1999,34.8687264297681,21.7134460046563
YR2000,34.71747317438,21.5952835465819
YR2001,34.5374625084351,21.5031563447265
YR2002,34.3574518424902,21.411029142871
YR2003,34.1774411765453,21.3189019410156
YR2004,33.6542735773628,21.2267747391601
YR2005,33.4759771460329,21.1346475373047
YR2006,33.2978017194404,21.0425203354492
YR2007,33.1195040374608,20.9503931335938
YR2008,32.9413958772235,20.8582659317383
YR2009,32.7631306258922,20.7661387298829
YR2010,32.5834154809305,20.6740115280274
YR2011,32.3709209537684,20.586055376098
YR2012,31.8905833662758,20.4980992241686
YR2013,31.6805646236178,20.4101430722392
YR2014,31.470563981496,20.3221869203098
YR2015,31.260350340854,20.2342307683804
YR2016,31.039612540938,20.1526101563381
YR2017,30.8242476990822,20.0713271823989
YR2018,30.6114437120921,19.9860995956125
YR2019,30.391558389313,19.9012147100637
YR2020,30.174185634139,19.8167774053141
YR2021,,
